Time (s),Raw Conductance (uS),Filtered Conductance (uS),Tonic Baseline (uS),Phasic Response (uS),IsPeak,PeakAmplitude,PeakLabel,Latitude,Longitude
5.507,5.7493,5.7493,5.2543,0.4950,0,,"",,
5.607,5.8647,5.8647,5.2757,0.5890,0,,"",,
5.707,5.9882,5.9882,5.2972,0.6910,0,,"",,
5.807,6.1137,6.1137,5.3188,0.7949,0,,"",,
5.907,6.2246,6.2246,5.3404,0.8842,0,,"",,
6.007,6.3343,6.3343,5.3621,0.9722,0,,"",,
6.108,6.4312,6.4312,5.3839,1.0473,0,,"",,
6.208,6.5153,6.5153,5.4057,1.1096,0,,"",,
6.308,6.5830,6.5830,5.4276,1.1554,0,,"",,
6.408,6.6317,6.6317,5.4495,1.1822,0,,"",,
6.508,6.6608,6.6608,5.4714,1.1894,1,1.1894,"",,
6.608,6.6798,6.6798,5.4934,1.1864,0,,"",,
6.708,6.6930,6.6930,5.5155,1.1775,0,,"",,
6.808,6.7039,6.7039,5.5377,1.1662,0,,"",,
6.909,6.7172,6.7172,5.5599,1.1573,0,,"",,
7.009,6.7408,6.7408,5.5824,1.1584,0,,"",,
7.109,6.7712,6.7712,5.6049,1.1663,0,,"",,
7.209,6.8035,6.8035,5.6277,1.1758,0,,"",,
7.309,6.8490,6.8490,5.6506,1.1984,0,,"",,
7.409,6.9064,6.9064,5.6738,1.2326,0,,"",,
7.509,6.9698,6.9698,5.6972,1.2726,0,,"",,
7.609,7.0349,7.0349,5.7209,1.3140,0,,"",,
7.710,7.0984,7.0984,5.7449,1.3535,0,,"",,
7.810,7.1566,7.1566,5.7690,1.3876,0,,"",,
7.910,7.2032,7.2032,5.7934,1.4098,0,,"",,
8.010,7.2514,7.2514,5.8180,1.4334,0,,"",,
8.110,7.3002,7.3002,5.8427,1.4575,0,,"",,
8.210,7.3481,7.3481,5.8677,1.4804,0,,"",,
8.310,7.3926,7.3926,5.8928,1.4998,0,,"",,
8.410,7.4282,7.4282,5.9181,1.5101,1,0.3528,"",,
8.511,7.4462,7.4462,5.9436,1.5026,0,,"",,
8.611,7.4532,7.4532,5.9692,1.4840,0,,"",,
8.711,7.4530,7.4530,5.9950,1.4580,0,,"",,
8.811,7.4390,7.4390,6.0209,1.4181,0,,"",,
8.911,7.4175,7.4175,6.0469,1.3706,0,,"",,
9.011,7.3912,7.3912,6.0731,1.3181,0,,"",,
9.111,7.3540,7.3540,6.0993,1.2547,0,,"",,
9.211,7.3025,7.3025,6.1257,1.1768,0,,"",,
9.312,7.2477,7.2477,6.1522,1.0955,0,,"",,
9.412,7.1947,7.1947,6.1788,1.0159,0,,"",,
9.512,7.1439,7.1439,6.2054,0.9385,0,,"",,
9.612,7.0979,7.0979,6.2321,0.8658,0,,"",,
9.712,7.0540,7.0540,6.2587,0.7953,0,,"",,
9.812,7.0057,7.0057,6.2854,0.7203,0,,"",,
9.912,6.9604,6.9604,6.3120,0.6484,0,,"",,
10.012,6.9172,6.9172,6.3386,0.5786,0,,"",,
10.113,6.8809,6.8809,6.3650,0.5159,0,,"",,
10.213,6.8499,6.8499,6.3914,0.4585,0,,"",,
10.313,6.8246,6.8246,6.4177,0.4069,0,,"",,
10.413,6.8024,6.8024,6.4439,0.3585,0,,"",,
10.513,6.7833,6.7833,6.4700,0.3133,0,,"",,
10.613,6.7772,6.7772,6.4959,0.2813,0,,"",,
10.713,6.7971,6.7971,6.5218,0.2753,0,,"",,
10.813,6.8480,6.8480,6.5474,0.3006,0,,"",,
10.914,6.9282,6.9282,6.5728,0.3554,0,,"",,
11.014,7.0483,7.0483,6.5979,0.4504,0,,"",,
11.114,7.1935,7.1935,6.6228,0.5707,0,,"",,
11.214,7.3549,7.3549,6.6472,0.7077,0,,"",,
11.314,7.5243,7.5243,6.6713,0.8530,0,,"",,
11.414,7.6967,7.6967,6.6949,1.0018,0,,"",,
11.514,7.8588,7.8588,6.7179,1.1409,0,,"",,
11.614,8.0079,8.0079,6.7404,1.2675,0,,"",,
11.715,8.1414,8.1414,6.7622,1.3792,0,,"",,
11.815,8.2544,8.2544,6.7834,1.4710,0,,"",,
11.915,8.3386,8.3386,6.8041,1.5345,0,,"",,
12.015,8.4159,8.4159,6.8242,1.5917,0,,"",,
12.115,8.4818,8.4818,6.8437,1.6381,0,,"",,
12.215,8.5296,8.5296,6.8627,1.6669,0,,"",,
12.315,8.5563,8.5563,6.8811,1.6752,1,1.3999,"",,
12.415,8.5650,8.5650,6.8990,1.6660,0,,"",,
12.516,8.5532,8.5532,6.9163,1.6369,0,,"",,
12.616,8.5285,8.5285,6.9332,1.5953,0,,"",,
12.716,8.4985,8.4985,6.9495,1.5490,0,,"",,
12.816,8.4592,8.4592,6.9654,1.4938,0,,"",,
12.916,8.4155,8.4155,6.9808,1.4347,0,,"",,
13.016,8.3679,8.3679,6.9958,1.3721,0,,"",,
13.116,8.3180,8.3180,7.0103,1.3077,0,,"",,
13.216,8.2654,8.2654,7.0244,1.2410,0,,"",,
13.317,8.2200,8.2200,7.0382,1.1818,0,,"",,
13.417,8.1833,8.1833,7.0515,1.1318,0,,"",,
13.517,8.1567,8.1567,7.0646,1.0921,0,,"",,
13.617,8.1388,8.1388,7.0772,1.0616,0,,"",,
13.717,8.1239,8.1239,7.0896,1.0343,0,,"",,
13.817,8.1054,8.1054,7.1017,1.0037,0,,"",,
13.917,8.0925,8.0925,7.1135,0.9790,0,,"",,
14.017,8.0908,8.0908,7.1252,0.9656,0,,"",,
14.118,8.0973,8.0973,7.1367,0.9606,0,,"",,
14.218,8.1089,8.1089,7.1479,0.9610,0,,"",,
14.318,8.1287,8.1287,7.1588,0.9699,0,,"",,
14.418,8.1465,8.1465,7.1695,0.9770,0,,"",,
14.518,8.1561,8.1561,7.1798,0.9763,0,,"",,
14.618,8.1682,8.1682,7.1900,0.9782,0,,"",,
14.718,8.1844,8.1844,7.1999,0.9845,0,,"",,
14.818,8.1999,8.1999,7.2096,0.9903,0,,"",,
14.919,8.2147,8.2147,7.2192,0.9955,0,,"",,
15.019,8.2307,8.2307,7.2285,1.0022,0,,"",,
15.119,8.2381,8.2381,7.2378,1.0003,0,,"",,
15.219,8.2381,8.2381,7.2470,0.9911,0,,"",,
15.319,8.2427,8.2427,7.2562,0.9865,0,,"",,
15.419,8.2498,8.2498,7.2653,0.9845,0,,"",,
15.519,8.2569,8.2569,7.2746,0.9823,0,,"",,
15.619,8.2649,8.2649,7.2839,0.9810,0,,"",,
15.720,8.2717,8.2717,7.2934,0.9783,0,,"",,
15.820,8.2711,8.2711,7.3030,0.9681,0,,"",,
15.920,8.2656,8.2656,7.3127,0.9529,0,,"",,
16.020,8.2616,8.2616,7.3226,0.9390,0,,"",,
16.120,8.2559,8.2559,7.3327,0.9232,0,,"",,
16.220,8.2469,8.2469,7.3429,0.9040,0,,"",,
16.320,8.2373,8.2373,7.3533,0.8840,0,,"",,
16.420,8.2270,8.2270,7.3638,0.8632,0,,"",,
16.521,8.2102,8.2102,7.3745,0.8357,0,,"",,
16.621,8.1875,8.1875,7.3854,0.8021,0,,"",,
16.721,8.1654,8.1654,7.3965,0.7689,0,,"",,
16.821,8.1419,8.1419,7.4077,0.7342,0,,"",,
16.921,8.1192,8.1192,7.4192,0.7000,0,,"",,
17.021,8.0973,8.0973,7.4308,0.6665,0,,"",,
17.121,8.0762,8.0762,7.4425,0.6337,0,,"",,
17.221,8.0547,8.0547,7.4544,0.6003,0,,"",,
17.322,8.0298,8.0298,7.4665,0.5633,0,,"",,
17.422,8.0055,8.0055,7.4787,0.5268,0,,"",,
17.522,7.9878,7.9878,7.4910,0.4968,0,,"",,
17.622,7.9738,7.9738,7.5035,0.4703,0,,"",,
17.722,7.9651,7.9651,7.5161,0.4490,0,,"",,
17.822,7.9633,7.9633,7.5288,0.4345,0,,"",,
17.922,7.9689,7.9689,7.5417,0.4272,0,,"",,
18.022,7.9792,7.9792,7.5545,0.4247,0,,"",,
18.123,7.9933,7.9933,7.5675,0.4258,0,,"",,
18.223,8.0150,8.0150,7.5805,0.4345,0,,"",,
18.323,8.0417,8.0417,7.5937,0.4480,0,,"",,
18.423,8.0669,8.0669,7.6070,0.4599,0,,"",,
18.523,8.0900,8.0900,7.6206,0.4694,0,,"",,
18.623,8.1069,8.1069,7.6344,0.4725,0,,"",,
18.723,8.1152,8.1152,7.6483,0.4669,0,,"",,
18.823,8.1122,8.1122,7.6625,0.4497,0,,"",,
18.924,8.1034,8.1034,7.6769,0.4265,0,,"",,
19.024,8.0948,8.0948,7.6915,0.4033,0,,"",,
19.124,8.0837,8.0837,7.7062,0.3775,0,,"",,
19.224,8.0687,8.0687,7.7211,0.3476,0,,"",,
19.324,8.0503,8.0503,7.7362,0.3141,0,,"",,
19.424,8.0296,8.0296,7.7514,0.2782,0,,"",,
19.524,8.0050,8.0050,7.7668,0.2382,0,,"",,
19.624,7.9793,7.9793,7.7823,0.1970,0,,"",,
19.725,7.9621,7.9621,7.7979,0.1642,0,,"",,
19.825,7.9611,7.9611,7.8136,0.1475,0,,"",,
19.925,7.9797,7.9797,7.8294,0.1503,0,,"",,
20.025,8.0225,8.0225,7.8454,0.1771,0,,"",,
20.125,8.0882,8.0882,7.8614,0.2268,0,,"",,
20.225,8.1746,8.1746,7.8775,0.2971,0,,"",,
20.325,8.2738,8.2738,7.8936,0.3802,0,,"",,
20.425,8.3743,8.3743,7.9099,0.4644,0,,"",,
20.525,8.4772,8.4772,7.9262,0.5510,0,,"",,
20.626,8.5746,8.5746,7.9425,0.6321,0,,"",,
20.726,8.6656,8.6656,7.9590,0.7066,0,,"",,
20.826,8.7518,8.7518,7.9754,0.7764,0,,"",,
20.926,8.8216,8.8216,7.9919,0.8297,0,,"",,
21.026,8.8863,8.8863,8.0084,0.8779,0,,"",,
21.126,8.9528,8.9528,8.0249,0.9279,0,,"",,
21.226,9.0311,9.0311,8.0415,0.9896,0,,"",,
21.326,9.1147,9.1147,8.0580,1.0567,0,,"",,
21.427,9.1997,9.1997,8.0745,1.1252,0,,"",,
21.527,9.2817,9.2817,8.0911,1.1906,0,,"",,
21.627,9.3526,9.3526,8.1076,1.2450,0,,"",,
21.727,9.4073,9.4073,8.1240,1.2833,0,,"",,
21.827,9.4569,9.4569,8.1405,1.3164,0,,"",,
21.927,9.4970,9.4970,8.1569,1.3401,0,,"",,
22.027,9.5271,9.5271,8.1732,1.3539,0,,"",,
22.127,9.5468,9.5468,8.1895,1.3573,1,1.2098,"",,
22.228,9.5548,9.5548,8.2058,1.3490,0,,"",,
22.328,9.5428,9.5428,8.2220,1.3208,0,,"",,
22.428,9.5141,9.5141,8.2380,1.2761,0,,"",,
22.528,9.4817,9.4817,8.2539,1.2278,0,,"",,
22.628,9.4424,9.4424,8.2697,1.1727,0,,"",,
22.728,9.3958,9.3958,8.2853,1.1105,0,,"",,
22.828,9.3434,9.3434,8.3007,1.0427,0,,"",,
22.928,9.2875,9.2875,8.3159,0.9716,0,,"",,
23.029,9.2194,9.2194,8.3309,0.8885,0,,"",,
23.129,9.1491,9.1491,8.3457,0.8034,0,,"",,
23.229,9.0854,9.0854,8.3604,0.7250,0,,"",,
23.329,9.0271,9.0271,8.3748,0.6523,0,,"",,
23.429,8.9742,8.9742,8.3891,0.5851,0,,"",,
23.529,8.9235,8.9235,8.4032,0.5203,0,,"",,
23.629,8.8729,8.8729,8.4171,0.4558,0,,"",,
23.729,8.8187,8.8187,8.4309,0.3878,0,,"",,
23.830,8.7624,8.7624,8.4445,0.3179,0,,"",,
23.930,8.7140,8.7140,8.4579,0.2561,0,,"",,
24.030,8.6658,8.6658,8.4712,0.1946,0,,"",,
24.130,8.6212,8.6212,8.4843,0.1369,0,,"",,
24.230,8.5846,8.5846,8.4972,0.0874,0,,"",,
24.330,8.5573,8.5573,8.5100,0.0473,0,,"",,
24.430,8.5379,8.5379,8.5227,0.0152,0,,"",,
24.530,8.5352,8.5352,8.5352,0.0000,0,,"",,
24.631,8.5653,8.5653,8.5476,0.0177,0,,"",,
24.731,8.6347,8.6347,8.5599,0.0748,0,,"",,
24.831,8.7522,8.7522,8.5720,0.1802,0,,"",,
24.931,8.8931,8.8931,8.5841,0.3090,0,,"",,
25.031,9.0512,9.0512,8.5960,0.4552,0,,"",,
25.131,9.2113,9.2113,8.6078,0.6035,0,,"",,
25.231,9.3759,9.3759,8.6196,0.7563,0,,"",,
25.331,9.5278,9.5278,8.6312,0.8966,0,,"",,
25.432,9.6625,9.6625,8.6428,1.0197,0,,"",,
25.532,9.7755,9.7755,8.6543,1.1212,0,,"",,
25.632,9.8634,9.8634,8.6657,1.1977,0,,"",,
25.732,9.9228,9.9228,8.6770,1.2458,0,,"",,
25.832,9.9565,9.9565,8.6882,1.2683,0,,"",,
25.932,9.9736,9.9736,8.6994,1.2742,1,1.2742,"",,
26.032,9.9783,9.9783,8.7105,1.2678,0,,"",,
26.132,9.9676,9.9676,8.7216,1.2460,0,,"",,
26.233,9.9453,9.9453,8.7326,1.2127,0,,"",,
26.333,9.9104,9.9104,8.7435,1.1669,0,,"",,
26.433,9.8625,9.8625,8.7545,1.1080,0,,"",,
26.533,9.8018,9.8018,8.7654,1.0364,0,,"",,
26.633,9.7436,9.7436,8.7762,0.9674,0,,"",,
26.733,9.6894,9.6894,8.7871,0.9023,0,,"",,
26.833,9.6364,9.6364,8.7980,0.8384,0,,"",,
26.933,9.5962,9.5962,8.8090,0.7872,0,,"",,
27.034,9.5627,9.5627,8.8201,0.7426,0,,"",,
27.134,9.5307,9.5307,8.8312,0.6995,0,,"",,
27.234,9.4965,9.4965,8.8423,0.6542,0,,"",,
27.334,9.4690,9.4690,8.8536,0.6154,0,,"",,
27.434,9.4526,9.4526,8.8649,0.5877,0,,"",,
27.534,9.4399,9.4399,8.8763,0.5636,0,,"",,
27.634,9.4244,9.4244,8.8878,0.5366,0,,"",,
27.734,9.4017,9.4017,8.8993,0.5024,0,,"",,
27.835,9.3740,9.3740,8.9110,0.4630,0,,"",,
27.935,9.3435,9.3435,8.9227,0.4208,0,,"",,
28.035,9.3138,9.3138,8.9346,0.3792,0,,"",,
28.135,9.3025,9.3025,8.9465,0.3560,0,,"",,
28.235,9.3160,9.3160,8.9585,0.3575,0,,"",,
28.335,9.3696,9.3696,8.9707,0.3989,0,,"",,
28.435,9.4798,9.4798,8.9829,0.4969,0,,"",,
28.535,9.6474,9.6474,8.9953,0.6521,0,,"",,
28.636,9.8507,9.8507,9.0078,0.8429,0,,"",,
28.736,10.0689,10.0689,9.0204,1.0485,0,,"",,
28.836,10.3082,10.3082,9.0331,1.2751,0,,"",,
28.936,10.5286,10.5286,9.0459,1.4827,0,,"",,
29.036,10.7397,10.7397,9.0588,1.6809,0,,"",,
29.136,10.9240,10.9240,9.0719,1.8521,0,,"",,
29.236,11.0777,11.0777,9.0851,1.9926,0,,"",,
29.336,11.1872,11.1872,9.0983,2.0889,0,,"",,
29.437,11.2601,11.2601,9.1117,2.1484,0,,"",,
29.537,11.2999,11.2999,9.1252,2.1747,0,,"",,
29.637,11.3296,11.3296,9.1389,2.1907,0,,"",,
29.737,11.3465,11.3465,9.1526,2.1939,1,1.8379,"",,
29.837,11.3401,11.3401,9.1665,2.1736,0,,"",,
29.937,11.3142,11.3142,9.1805,2.1337,0,,"",,
30.037,11.2693,11.2693,9.1945,2.0748,0,,"",,
30.137,11.2080,11.2080,9.2087,1.9993,0,,"",,
30.238,11.1257,11.1257,9.2230,1.9027,0,,"",,
30.338,11.0309,11.0309,9.2373,1.7936,0,,"",,
30.438,10.9392,10.9392,9.2517,1.6875,0,,"",,
30.538,10.8502,10.8502,9.2661,1.5841,0,,"",,
30.638,10.7573,10.7573,9.2805,1.4768,0,,"",,
30.738,10.6650,10.6650,9.2949,1.3701,0,,"",,
30.838,10.5758,10.5758,9.3092,1.2666,0,,"",,
30.938,10.4965,10.4965,9.3233,1.1732,0,,"",,
31.039,10.4092,10.4092,9.3371,1.0721,0,,"",,
31.139,10.3220,10.3220,9.3508,0.9712,0,,"",,
31.239,10.2446,10.2446,9.3641,0.8805,0,,"",,
31.339,10.1752,10.1752,9.3772,0.7980,0,,"",,
31.439,10.1147,10.1147,9.3900,0.7247,0,,"",,
31.539,10.0622,10.0622,9.4024,0.6598,0,,"",,
31.639,10.0136,10.0136,9.4146,0.5990,0,,"",,
31.739,9.9648,9.9648,9.4264,0.5384,0,,"",,
31.840,9.9101,9.9101,9.4379,0.4722,0,,"",,
31.940,9.8610,9.8610,9.4491,0.4119,0,,"",,
32.040,9.8185,9.8185,9.4600,0.3585,0,,"",,
32.140,9.7821,9.7821,9.4705,0.3116,0,,"",,
32.240,9.7501,9.7501,9.4807,0.2694,0,,"",,
32.340,9.7230,9.7230,9.4905,0.2325,0,,"",,
32.440,9.6977,9.6977,9.5000,0.1977,0,,"",,
32.540,9.6687,9.6687,9.5091,0.1596,0,,"",,
32.641,9.6404,9.6404,9.5179,0.1225,0,,"",,
32.741,9.6224,9.6224,9.5262,0.0962,0,,"",,
32.841,9.6115,9.6115,9.5342,0.0773,0,,"",,
32.941,9.6081,9.6081,9.5418,0.0663,0,,"",,
33.041,9.6206,9.6206,9.5489,0.0717,0,,"",,
33.141,9.6483,9.6483,9.5557,0.0926,0,,"",,
33.241,9.6846,9.6846,9.5621,0.1225,0,,"",,
33.341,9.7192,9.7192,9.5681,0.1511,0,,"",,
33.442,9.7595,9.7595,9.5736,0.1859,0,,"",,
33.542,9.8140,9.8140,9.5788,0.2352,0,,"",,
33.642,9.8727,9.8727,9.5835,0.2892,0,,"",,
33.742,9.9380,9.9380,9.5877,0.3503,0,,"",,
33.842,10.0206,10.0206,9.5916,0.4290,0,,"",,
33.942,10.1081,10.1081,9.5949,0.5132,0,,"",,
34.042,10.2003,10.2003,9.5978,0.6025,0,,"",,
34.142,10.2921,10.2921,9.6002,0.6919,0,,"",,
34.243,10.3901,10.3901,9.6022,0.7879,0,,"",,
34.343,10.4815,10.4815,9.6038,0.8777,0,,"",,
34.443,10.5508,10.5508,9.6049,0.9459,0,,"",,
34.543,10.6061,10.6061,9.6057,1.0004,0,,"",,
34.643,10.6449,10.6449,9.6061,1.0388,0,,"",,
34.743,10.6583,10.6583,9.6062,1.0521,1,0.9858,"",,
34.843,10.6488,10.6488,9.6060,1.0428,0,,"",,
34.943,10.6435,10.6435,9.6055,1.0380,0,,"",,
35.044,10.6466,10.6466,9.6050,1.0416,0,,"",,
35.144,10.6470,10.6470,9.6042,1.0428,0,,"",,
35.244,10.6435,10.6435,9.6033,1.0402,0,,"",,
35.344,10.6379,10.6379,9.6022,1.0357,0,,"",,
35.444,10.6269,10.6269,9.6011,1.0258,0,,"",,
35.544,10.6098,10.6098,9.5999,1.0099,0,,"",,
35.644,10.5954,10.5954,9.5986,0.9968,0,,"",,
35.744,10.5835,10.5835,9.5972,0.9863,0,,"",,
35.845,10.5691,10.5691,9.5957,0.9734,0,,"",,
35.945,10.5578,10.5578,9.5940,0.9638,0,,"",,
36.045,10.5442,10.5442,9.5923,0.9519,0,,"",,
36.145,10.5219,10.5219,9.5905,0.9314,0,,"",,
36.245,10.4986,10.4986,9.5885,0.9101,0,,"",,
36.345,10.4998,10.4998,9.5865,0.9133,0,,"",,
36.445,10.5266,10.5266,9.5843,0.9423,0,,"",,
36.545,10.5842,10.5842,9.5821,1.0021,0,,"",,
36.646,10.6870,10.6870,9.5798,1.1072,0,,"",,
36.746,10.8165,10.8165,9.5773,1.2392,0,,"",,
36.846,10.9476,10.9476,9.5748,1.3728,0,,"",,
36.946,11.0588,11.0588,9.5722,1.4866,0,,"",,
37.046,11.1714,11.1714,9.5696,1.6018,0,,"",,
37.146,11.2675,11.2675,9.5668,1.7007,0,,"",,
37.246,11.3389,11.3389,9.5640,1.7749,0,,"",,
37.346,11.3850,11.3850,9.5611,1.8239,0,,"",,
37.447,11.4013,11.4013,9.5582,1.8431,1,0.9330,"",,
37.547,11.3836,11.3836,9.5552,1.8284,0,,"",,
37.647,11.3470,11.3470,9.5522,1.7948,0,,"",,
37.747,11.3053,11.3053,9.5491,1.7562,0,,"",,
37.847,11.2503,11.2503,9.5460,1.7043,0,,"",,
37.947,11.1887,11.1887,9.5428,1.6459,0,,"",,
38.047,11.1173,11.1173,9.5396,1.5777,0,,"",,
38.147,11.0368,11.0368,9.5364,1.5004,0,,"",,
38.248,10.9377,10.9377,9.5332,1.4045,0,,"",,
38.348,10.8346,10.8346,9.5300,1.3046,0,,"",,
38.448,10.7492,10.7492,9.5267,1.2225,0,,"",,
38.548,10.6693,10.6693,9.5234,1.1459,0,,"",,
38.648,10.5929,10.5929,9.5201,1.0728,0,,"",,
38.748,10.5215,10.5215,9.5167,1.0048,0,,"",,
38.848,10.4490,10.4490,9.5132,0.9358,0,,"",,
38.948,10.3737,10.3737,9.5096,0.8641,0,,"",,
39.049,10.2965,10.2965,9.5060,0.7905,0,,"",,
39.149,10.2322,10.2322,9.5023,0.7299,0,,"",,
39.249,10.1729,10.1729,9.4985,0.6744,0,,"",,
39.349,10.1189,10.1189,9.4946,0.6243,0,,"",,
39.449,10.0690,10.0690,9.4906,0.5784,0,,"",,
39.549,10.0214,10.0214,9.4864,0.5350,0,,"",,
39.649,9.9669,9.9669,9.4822,0.4847,0,,"",,
39.749,9.9087,9.9087,9.4778,0.4309,0,,"",,
39.850,9.8599,9.8599,9.4733,0.3866,0,,"",,
39.950,9.8238,9.8238,9.4687,0.3551,0,,"",,
40.050,9.7898,9.7898,9.4640,0.3258,0,,"",,
40.150,9.7590,9.7590,9.4592,0.2998,0,,"",,
40.250,9.7286,9.7286,9.4543,0.2743,0,,"",,
40.350,9.6995,9.6995,9.4493,0.2502,0,,"",,
40.450,9.6610,9.6610,9.4442,0.2168,0,,"",,
40.550,9.6224,9.6224,9.4390,0.1834,0,,"",,
40.650,9.5927,9.5927,9.4337,0.1590,0,,"",,
40.751,9.5639,9.5639,9.4284,0.1355,0,,"",,
40.851,9.5377,9.5377,9.4230,0.1147,0,,"",,
40.951,9.5139,9.5139,9.4176,0.0963,0,,"",,
41.051,9.4942,9.4942,9.4121,0.0821,0,,"",,
41.151,9.4713,9.4713,9.4065,0.0648,0,,"",,
41.251,9.4383,9.4383,9.4009,0.0374,0,,"",,
41.351,9.4086,9.4086,9.3952,0.0134,0,,"",,
41.451,9.3901,9.3901,9.3895,0.0006,0,,"",,
41.552,9.3837,9.3837,9.3837,0.0000,0,,"",,
41.652,9.3823,9.3823,9.3779,0.0044,0,,"",,
41.752,9.3872,9.3872,9.3720,0.0152,0,,"",,
41.852,9.4130,9.4130,9.3661,0.0469,0,,"",,
41.952,9.4443,9.4443,9.3602,0.0841,0,,"",,
42.052,9.4975,9.4975,9.3542,0.1433,0,,"",,
42.152,9.6013,9.6013,9.3481,0.2532,0,,"",,
42.252,9.7500,9.7500,9.3421,0.4079,0,,"",,
42.353,9.9395,9.9395,9.3360,0.6035,0,,"",,
42.453,10.1381,10.1381,9.3298,0.8083,0,,"",,
42.553,10.3496,10.3496,9.3236,1.0260,0,,"",,
42.653,10.5396,10.5396,9.3174,1.2222,0,,"",,
42.753,10.6998,10.6998,9.3111,1.3887,0,,"",,
42.853,10.8531,10.8531,9.3048,1.5483,0,,"",,
42.953,10.9866,10.9866,9.2984,1.6882,0,,"",,
43.053,11.1091,11.1091,9.2920,1.8171,0,,"",,
43.154,11.2119,11.2119,9.2856,1.9263,0,,"",,
43.254,11.2950,11.2950,9.2790,2.0160,0,,"",,
43.354,11.3434,11.3434,9.2724,2.0710,0,,"",,
43.454,11.3560,11.3560,9.2658,2.0902,0,,"",,
43.554,11.3532,11.3532,9.2591,2.0941,1,2.0941,"",,
43.654,11.3435,11.3435,9.2523,2.0912,0,,"",,
43.754,11.3277,11.3277,9.2455,2.0822,0,,"",,
43.854,11.3018,11.3018,9.2386,2.0632,0,,"",,
43.955,11.2581,11.2581,9.2317,2.0264,0,,"",,
44.055,11.1950,11.1950,9.2249,1.9701,0,,"",,
44.155,11.1174,11.1174,9.2181,1.8993,0,,"",,
44.255,11.0304,11.0304,9.2115,1.8189,0,,"",,
44.355,10.9483,10.9483,9.2051,1.7432,0,,"",,
44.455,10.8720,10.8720,9.1990,1.6730,0,,"",,
